,qus,ans
619,In what city was Matt Moralee born?,Newcastle upon Tyne
620,In what city was Petar Stambolić born?,Ivanjica
621,In what city was Josephus Nicolaus Laurenti born?,Vienna
622,In what city was Mike Gregory born?,Bath
623,In what city was Jorge Betancourt born?,Matanzas
624,In what city was Neil Robinson born?,Walton
625,In what city was Paul Humphries born?,Bromsgrove
626,In what city was Barbara Engel born?,Hamburg
627,In what city was Quorey Payne born?,Clewiston
628,In what city was Lloyd Ultan born?,New York City
629,In what city was Joseph Bova born?,Cleveland
630,In what city was Oi Va Voi born?,London
631,In what city was Elena Romagnolo born?,Borgosesia
632,"In what city was Dominique, comte de Cassini born?",Paris
633,In what city was Joris Delle born?,Briey
634,In what city was Stone born?,Paris
635,In what city was Ivan Khomukha born?,Ipatovo
636,"In what city was Margaret, Countess of Pembroke born?",Windsor Castle
637,In what city was Ferdinand Elle born?,Mechelen
638,In what city was Maarten van Severen born?,Antwerp
639,In what city was Refet Bele born?,Istanbul
640,In what city was Zijah Sokolović born?,Sarajevo
641,In what city was Rahi Masoom Raza born?,Ghazipur
642,In what city was Bob Warlick born?,Hickory
643,In what city was Dick Leonard born?,Romford
644,In what city was Lucia de Berk born?,The Hague
645,In what city was Clarence Beck born?,Harrisburg
646,In what city was Aloïs Boudry born?,Ypres
647,In what city was Tony Shields born?,Strabane
648,In what city was Hendrik Gerritsz Pot born?,Haarlem
649,In what city was Amoene van Haersolte born?,Utrecht
650,In what city was Jim Baker born?,Ilkeston
651,In what city was Pete Larson born?,Wilmington
652,In what city was Valdemar III of Denmark born?,Denmark
653,In what city was Pete Stewart born?,Statesville
654,In what city was Dave Alston born?,Chicago
655,In what city was Piotr Balcerzak born?,Warsaw
656,In what city was Mariano Chao born?,San Fernando
657,In what city was Koudai Tsukakoshi born?,Tochigi Prefecture
658,In what city was John Edgerton born?,Johnston County
659,In what city was Jerry Best born?,Queens
660,In what city was Jim born?,Arizona Territory
661,In what city was Barbu Ștefănescu Delavrancea born?,Bucharest
662,In what city was Michael Woolston Ash born?,Philadelphia
663,In what city was Gustavo A. Madero born?,Parras de la Fuente
664,In what city was James Brown born?,Leith
665,In what city was Andrea di Alessandro born?,Brescia
666,In what city was Alison Cockburn born?,Selkirkshire
667,In what city was Karl Wilhelm Rosenmund born?,Berlin
668,In what city was Francisco Maldonado born?,Salamanca
669,In what city was Gilbert Bodart born?,Seraing
670,In what city was Roy A. Roberts born?,Muscotah
671,In what city was Edu Nandlal born?,Paramaribo
672,In what city was Gregorio Selser born?,Buenos Aires
673,In what city was Donald De Lue born?,Boston
674,In what city was Ramón Luis Valcárcel Siso born?,Murcia
675,In what city was Anne Brusletto born?,Geilo
676,In what city was Tameem Al-Kubati born?,Sanaa
677,In what city was August Brand born?,Berlin
678,In what city was Ilya Nikiforov born?,Saint Petersburg
679,In what city was Arthur Thomson born?,Edinburgh
680,In what city was Miloš Žeravica born?,Zrenjanin
681,In what city was Mohammad Esfahani born?,Tehran
682,In what city was Brandon Bays born?,United States of America
683,In what city was Aina Kusuda born?,Chiba Prefecture
684,In what city was Batman born?,Gotham City
685,In what city was Lisa Miller born?,United States of America
686,In what city was Giovanni Speranza born?,Gießen
687,In what city was William Collins born?,London
688,In what city was Veselin Vujović born?,Cetinje
689,In what city was Vitaly Arkhangelsky born?,Almaty
690,In what city was Anton Lui born?,Rabaul
691,In what city was Paul Walker born?,Kilwinning
692,In what city was Doug McCombs born?,Peoria
693,In what city was Ed Sullivan born?,New York City
694,In what city was Margaret Coit born?,Norwich
695,In what city was Serhiy Zayets born?,Berdychiv
696,In what city was Belly born?,Jenin
697,In what city was William Anderson born?,Scotland
698,In what city was Thomas D. Schall born?,Reed City
699,In what city was Johann Heinrich Roos born?,Otterberg
700,In what city was Kristian Outinen born?,Copenhagen
701,In what city was Matthijs Dulken born?,Roermond
702,In what city was Fahd Ananta born?,Dhaka
703,In what city was Dee born?,Montreal
704,In what city was Antigoni Goni born?,Athens
705,In what city was Sebastian Hofmann born?,Sinsheim
706,In what city was Emil Marschalk von Ostheim born?,Bamberg
707,In what city was Şeref Has born?,Istanbul
708,In what city was Kalevi Kull born?,Tartu
709,In what city was Esau Tjiuoro born?,Okakarara
710,In what city was Gerard Thomas born?,Antwerp
711,In what city was Ricardo Sánchez born?,Guadalajara
712,In what city was Leena Peisa born?,Vantaa
713,In what city was Robert Kraft born?,Brookline
714,In what city was Germaine Aussey born?,Paris
715,In what city was Bruno Nöckler born?,Prettau
716,In what city was Gloria Porras Valles born?,Baja California Sur
717,In what city was Harvey born?,Philadelphia
718,In what city was Glover Morrill Allen born?,Walpole
719,In what city was Annie Oakley born?,Darke County
720,In what city was Gabriella Di Laccio born?,Porto Alegre
721,In what city was Moses the Black born?,Egypt
722,In what city was Robert Creamer born?,Bronxville
723,In what city was Claudio Costamagna born?,Milan
724,In what city was Andries Bonger born?,Amsterdam
725,In what city was Lois Bancroft Long born?,Stamford
726,In what city was Edward Drinker Cope born?,Philadelphia
727,In what city was Klaus-Degenhard Schmidt born?,Kiel
728,In what city was Robert B. Scarborough born?,Chesterfield
729,In what city was Manon born?,Bern
730,In what city was Liz born?,Tarzana
731,In what city was Joseph born?,Ustyuzhna
732,In what city was Dilson Torres born?,Maracay
733,In what city was Ray Strauss born?,Perth
734,In what city was Charles Hyder born?,Albuquerque
735,In what city was Mark Holzemer born?,Littleton
736,In what city was Doug Gwosdz born?,Houston
737,In what city was Hieronymous Francken I born?,Herentals
738,In what city was Robert Zawada born?,Jedlnia-Letnisko
739,In what city was Vera Dua born?,Ghent
740,In what city was John A. Shaud born?,Cleveland
741,In what city was Gianni Lonzi born?,Florence
742,In what city was Maksim Andreyevich Fyodorov born?,Rasskazovo
743,In what city was Paris born?,San Francisco
744,In what city was Bruce Collie born?,Nuremberg
745,In what city was Joseph Urban born?,Vienna
746,In what city was Peter Philpott born?,Manly
747,In what city was Martyn Liadov born?,Moscow
748,In what city was Scott McCuaig born?,Surrey
749,In what city was K. M. Beenamol born?,Kerala
750,In what city was Paul Singer born?,Berlin
751,In what city was Nikolai Kinski born?,Paris
752,In what city was Athīr al-Dīn al-Abharī born?,Abhar
753,In what city was Otto Renner born?,Neu-Ulm
754,In what city was Louis-Arsène Lavallée born?,Berthierville
755,In what city was Róbert Fazekas born?,Szombathely
756,In what city was Clemente Isnard born?,Rio de Janeiro
757,In what city was Dale Polley born?,Georgetown
758,In what city was Gerd Arntz born?,Remscheid
759,In what city was Robert Crannell Minor born?,New York City
760,In what city was Walter Gay born?,Boston
761,In what city was Izumi Iimura born?,Japan
762,In what city was Pierre Charette born?,Masson-Angers
763,In what city was Jean Arp born?,Strasbourg
764,In what city was Edgar Manas born?,Istanbul
765,In what city was Reinhard Jirgl born?,East Berlin
766,In what city was Paul Brill born?,Antwerp
767,In what city was Simon Callery born?,London
768,In what city was Aleksandar Madžar born?,Bar
769,In what city was Roland Wieser born?,Zschopau
770,In what city was Tony Clark born?,Newton
771,In what city was Víctor Rabú born?,Agen
772,In what city was Frederick George Bromberg born?,New York City
773,In what city was Doc Parker born?,Theresa
774,In what city was Giovanni Stefano Marucelli born?,Florence
775,In what city was Willem van Herp born?,Antwerp
776,In what city was Matt Hamilton born?,Hemel Hempstead
777,In what city was William Perry Hay born?,Eureka
778,In what city was Kirk O'Bee born?,Ada Township
779,In what city was Offer Nissim born?,Tel Aviv
780,In what city was Jadranka Šešelj born?,Podujevo
781,In what city was Joachim Olsen born?,Aalborg
782,In what city was Shawn Respert born?,Detroit
783,In what city was John Robinson born?,Mansfield
784,In what city was Monster born?,Hsinchu
785,In what city was Anders Orvin born?,Hattfjelldal
786,In what city was Nelson Faria born?,Belo Horizonte
787,In what city was Willem van Nieulandt II born?,Antwerp
788,In what city was Hermann Vezin born?,Philadelphia
789,In what city was János Ferencsik born?,Budapest
790,In what city was Florence Marie Harsant born?,New Plymouth
791,In what city was Diana Estrada born?,Mexico City
792,In what city was Khalid bin Barghash of Zanzibar born?,Zanzibar
793,In what city was Terry Hunte born?,Saint Philip
794,In what city was Steve McDonald born?,Birmingham
795,In what city was Izaskun Zubizarreta Gerendiain born?,Oiartzun
796,In what city was Harry W. Kvebæk born?,Fetsund
797,In what city was Rose Bampton born?,Lakewood
798,In what city was Mélonin Noumonvi born?,Paris
799,In what city was John M. Wood born?,Minisink
800,In what city was Geert Brusselers born?,Eindhoven
801,In what city was Maurice El Mediouni born?,Oran
802,In what city was Emily Hood Westacott born?,Brisbane
803,In what city was Grant Bramwell born?,Gisborne
804,In what city was Valentin Avrorin born?,Tambov
805,In what city was Giulio Bisegni born?,Frascati
806,In what city was Alfred Frank Hardiman born?,London
807,In what city was Baptiste Lecaplain born?,Mortain
808,In what city was Matthew J. Ryan born?,Philadelphia
809,In what city was Julius Erving born?,New York City
810,In what city was Billy McGinty born?,Glasgow
811,In what city was Estevan Peléè born?,Brou-sur-Chantereine
812,In what city was James Keddy born?,Dublin
813,In what city was Angela Leong born?,Guangzhou
814,In what city was Erick Benzi born?,Marseille
815,In what city was Ko Wen-je born?,Hsinchu
816,In what city was Sugar Ray Norcia born?,Stonington
817,In what city was Zsuzsanna Németh born?,Budapest
818,In what city was Joel Johnson born?,Elmore
819,In what city was Dick Arndt born?,Bonners Ferry
820,In what city was Robley Dunglison Evans born?,Floyd County
821,In what city was Ingvild Bryn born?,Voss
822,In what city was John Anderson born?,Warren
823,In what city was Sevil Atasoy born?,Istanbul
824,In what city was Aleksandar Markovski born?,Zrenjanin
825,In what city was Tsugumi Higasayama born?,Saitama Prefecture
826,In what city was Bobby Ray Baldock born?,Rocky
827,In what city was Hansi Niese born?,Vienna
828,In what city was Raimonds Vilde born?,Riga
829,In what city was Mick Flynn born?,Cardiff
830,In what city was Wayne Cooper born?,Milan
831,In what city was Nay Myo Thant born?,Pakokku
832,In what city was Babyface born?,Indianapolis
833,In what city was Zara Turner born?,Belfast
834,In what city was Doris Bell Collier born?,Manchester
835,In what city was Aarno Maliniemi born?,Oulu
836,In what city was Charles Plumer born?,Canons Park
837,In what city was Maarten Biesheuvel born?,Schiedam
838,In what city was David Ogrin born?,Waukegan
839,In what city was Kevin Morton born?,Norwalk
840,In what city was Moon Joo-won born?,South Korea
841,In what city was Joseph Patrick Addabbo born?,Queens
842,In what city was Amir Syamsuddin born?,Makassar
843,In what city was Leobardo Soto born?,Puebla
844,In what city was Hailey McCann born?,Riverside
845,In what city was Helene Liebmann born?,Berlin
846,In what city was Tuomo Suomalainen born?,Gogland
847,In what city was Donnchad mac Briain born?,Ireland
848,In what city was William Jack born?,Aberdeen
849,In what city was Oleg Govorun born?,Bratsk
850,In what city was Masaru Inada born?,Sapporo
851,In what city was Vladimir Korotkov born?,Moscow
852,In what city was Erasmo Carlos born?,Rio de Janeiro
853,In what city was Ryūzaburō Ōtomo born?,Tokyo
854,In what city was Yaroslav Rybakov born?,Mogilev
855,In what city was Pierre Petit born?,Paris
856,In what city was Shrichand Kriplani born?,Chittorgarh
857,In what city was Cristina Laslo born?,Cluj-Napoca
858,In what city was Jürgen W. Falter born?,Heppenheim
859,In what city was Billy Carlson born?,San Diego
860,In what city was Herman Hertzberger born?,Amsterdam
861,In what city was Blair Bush born?,Fort Hood
862,In what city was Stan Andrews born?,Lynn
863,In what city was Alexandre-Marie Colin born?,Paris
864,In what city was Spartaco Schergat born?,Koper
865,In what city was Bogdan Andone born?,Aiud
